OACI      ;DESCRIPCION                                                 ;CANT MOVIMIENTOS    
SASO      ;ORÁN                                                       ;0                   
SASQ      ;LA QUIACA/DR. GUILLERMO EUGENIO SNOPEK                      ;0                   
SAST      ;TARTAGAL/GENERAL ENRIQUE MOSCONI                            ;0                   
SATD      ;ELDORADO                                                    ;0                   
SATI      ;BERNARDO DE IRIGOYEN                                        ;0                   
SATO      ;OBERÁ                                                      ;0                   
SATU      ;CURUZÚ CUATIÁ                                             ;0                   
SAVA      ;PIEDRA DEL ÁGUILA                                          ;0                   
SAVH      ;LAS HERAS                                                   ;0                   
SAVM      ;SARMIENTO/LAGO MUSTERS                                      ;0                   
SAVQ      ;MAQUINCHAO                                                  ;0                   
SAVS      ;SIERRA GRANDE                                               ;0                   
SAWB      ;VICECOMODORO MARAMBIO                                       ;0                   
SAWJ      ;SAN JULIÁN/CAPITÁN D. DANIEL VAZQUEZ                      ;0                   
SAWM      ;RÍO MAYO                                                   ;0                   
SAWO      ;USHUAIA/EST. AERONAVAL                                      ;0                   
SAWR      ;GOBERNADOR GREGORES                                         ;0                   
SAWU      ;SANTA CRUZ                                                  ;0                   
SAZA      ;AZUL                                                        ;0                   
SAZC      ;CORONEL SUÁREZ/BRIG. D. H. E.  RUIZ                        ;0                   
SAZE      ;PIGÜÉ                                                     ;0                   
SAZH      ;TRES ARROYOS                                                ;0                   
SAZJ      ;JUÁREZ                                                     ;0                   
SAZO      ;NECOCHEA                                                    ;0                   
SAZP      ;PEHUAJÓ/COM. PEDRO ZANNI                                   ;0                   
SAZQ      ;RÍO COLORADO                                               ;0                   
SAZX      ;NUEVE DE JULIO                                              ;0                   
